iter	MultiClass
0	1.029662433
1	0.9752430459
2	0.9304981802
3	0.8940285923
4	0.8636570998
5	0.8376897833
6	0.8169351809
7	0.7985670283
8	0.782611718
9	0.7685369518
10	0.7558439468
11	0.7439390853
12	0.7342813774
13	0.7266207814
14	0.7192634857
15	0.7123631361
16	0.7060644439
17	0.7012598873
18	0.6967652973
19	0.6920454774
20	0.6876882577
21	0.6837648622
22	0.6810578004
23	0.6787421999
24	0.6763164285
25	0.6734966825
26	0.6709690016
27	0.6693879081
28	0.6670672443
29	0.6649714022
30	0.663856679
31	0.6626095883
32	0.6610121256
33	0.6595421015
34	0.6581955102
35	0.6569336716
36	0.6559681736
37	0.6550673392
38	0.653746771
39	0.6530862332
40	0.652196419
41	0.6514182532
42	0.6506857026
43	0.6495463047
44	0.6488736831
45	0.6481345966
46	0.6474260668
47	0.6468025127
48	0.6462090222
49	0.6457022027
50	0.645269223
51	0.6448194508
52	0.6439994341
53	0.6435744575
54	0.6430581243
55	0.642446126
56	0.6418462048
57	0.6409992507
58	0.6401861513
59	0.6397064692
60	0.6393663052
61	0.6390946967
62	0.6384467612
63	0.637939071
64	0.6375351073
65	0.6370182823
66	0.6366533157
67	0.6362000186
68	0.6354532474
69	0.6350222932
70	0.6345650704
71	0.6343227005
72	0.6340337711
73	0.6336736924
74	0.6332564017
75	0.6329608242
76	0.6325675882
77	0.6319813903
78	0.6317217647
79	0.6312683471
80	0.6305015255
81	0.6299017
82	0.6293942633
83	0.6291889951
84	0.6287902136
85	0.6283756633
86	0.6281060653
87	0.6277212747
88	0.6274301266
89	0.6268053185
90	0.6265633094
91	0.626218737
92	0.6259720047
93	0.6255243471
94	0.6252582836
95	0.6244457901
96	0.6240917699
97	0.6237437904
98	0.6232795452
99	0.6230295801
100	0.6226250729
101	0.6222670847
102	0.6219378625
103	0.6216506266
104	0.6211926812
105	0.6208558611
106	0.6205494543
107	0.6202072531
108	0.6197953703
109	0.6194975766
110	0.6192278857
111	0.618997346
112	0.6186408082
113	0.6183979541
114	0.6180310765
115	0.6176758937
116	0.617352202
117	0.6170103956
118	0.6167813081
119	0.6165378615
120	0.6162307469
121	0.6159623359
122	0.6156462417
