iter	Passed	Remaining
0	60	60811
1	113	56582
2	163	54335
3	221	55136
4	269	53633
5	328	54475
6	383	54469
7	443	55047
8	503	55455
9	556	55073
10	615	55364
11	683	56248
12	733	55703
13	779	54890
14	828	54431
15	889	54733
16	953	55144
17	1032	56318
18	1098	56709
19	1156	56676
20	1208	56357
21	1256	55845
22	1305	55470
23	1358	55259
24	1405	54805
25	1450	54345
26	1510	54436
27	1583	54967
28	1621	54282
29	1658	53625
30	1703	53254
31	1750	52947
32	1805	52918
33	1879	53394
34	1932	53289
35	1978	52986
36	2025	52709
37	2071	52437
38	2135	52619
39	2176	52228
40	2252	52678
41	2294	52345
42	2335	51977
43	2387	51883
44	2461	52247
45	2518	52228
46	2587	52475
47	2649	52554
48	2693	52282
49	2742	52108
50	2789	51913
51	2831	51621
52	2878	51433
53	2941	51535
54	2996	51479
55	3047	51379
56	3096	51227
57	3145	51093
58	3196	50979
59	3245	50852
60	3284	50558
61	3342	50567
62	3406	50666
63	3464	50669
64	3517	50600
65	3581	50682
66	3643	50741
67	3696	50658
68	3746	50548
69	3797	50455
70	3854	50428
71	3901	50290
72	3941	50049
73	3985	49875
74	4029	49698
75	4078	49587
76	4123	49422
77	4159	49169
78	4199	48963
79	4240	48761
80	4284	48605
81	4333	48510
82	4381	48409
83	4427	48280
84	4469	48108
85	4512	47954
86	4556	47821
87	4619	47876
88	4664	47746
89	4706	47588
90	4754	47495
91	4793	47312
92	4834	47147
93	4879	47031
94	4926	46929
95	4983	46930
96	5033	46859
97	5075	46711
98	5120	46601
99	5159	46435
100	5202	46309
101	5252	46238
102	5301	46171
103	5349	46092
104	5395	45990
105	5440	45888
106	5483	45765
107	5526	45641
108	5570	45537
109	5612	45408
110	5666	45383
111	5726	45401
112	5788	45435
113	5840	45392
114	5908	45469
115	5969	45490
116	6025	45475
117	6076	45415
118	6128	45370
119	6180	45324
120	6240	45331
121	6291	45278
122	6346	45252
123	6398	45199
124	6460	45223
125	6511	45167
126	6566	45137
127	6628	45159
128	6705	45275
129	6758	45228
130	6810	45177
131	6870	45175
132	6924	45137
133	6975	45080
134	7033	45063
135	7078	44971
136	7140	44982
137	7188	44902
138	7239	44843
139	7290	44783
140	7345	44750
141	7396	44693
142	7450	44648
143	7498	44572
144	7553	44540
145	7606	44492
146	7672	44518
147	7743	44576
148	7800	44550
149	7843	44447
150	7888	44354
151	7939	44295
152	7992	44246
153	8038	44162
154	8098	44149
155	8159	44146
156	8212	44098
157	8255	43995
158	8304	43924
159	8355	43868
160	8411	43834
161	8465	43791
162	8525	43777
163	8580	43738
164	8630	43676
165	8677	43597
166	8729	43544
167	8787	43518
168	8848	43507
169	8919	43546
170	8983	43551
171	9027	43455
172	9062	43323
173	9113	43261
174	9153	43153
175	9210	43123
176	9396	43690
177	9471	43738
178	9550	43801
179	9610	43782
180	9675	43779
181	9732	43742
182	9797	43741
183	9849	43682
184	9904	43633
185	9955	43570
186	10047	43682
187	10131	43761
188	10209	43808
189	10258	43735
190	10307	43659
191	10347	43546
192	10411	43535
193	10463	43471
194	10523	43442
195	10573	43371
196	10623	43302
197	10668	43214
198	10716	43135
199	10757	43031
200	10804	42949
201	10853	42877
202	10922	42881
203	10991	42887
204	11043	42827
205	11091	42748
206	11137	42665
207	11183	42584
208	11228	42497
209	11279	42431
210	11317	42320
211	11371	42267
212	11415	42177
213	11458	42084
214	11506	42011
215	11538	41880
216	11584	41800
217	11619	41680
218	11657	41573
219	11703	41494
